obs,INF,LGNP,LM1,LRSL,LRTB,LVCC,LW
1965Q2,2.1,6.82045,0.80537,1.46326,1.35325,4.90882,-3.48168
1965Q3,2.7,6.83765,0.81004,1.46326,1.35325,4.89550,-3.47446
1965Q4,2.0,6.85857,0.82258,1.46787,1.42792,4.94990,-3.45961
1966Q1,4.1,6.87688,0.82825,1.48614,1.52823,4.92796,-3.45674
1966Q2,4.8,6.88377,0.82904,1.50630,1.52388,4.93922,-3.47444
1966Q3,2.4,6.89305,0.82269,1.53256,1.61741,4.93606,-3.49837
1966Q4,3.7,6.90053,0.81478,1.53902,1.65058,4.97864,-3.51647
1967Q1,2.4,6.90214,0.81801,1.54969,1.50630,5.01946,-3.49976
1967Q2,1.5,6.90905,0.82819,1.54969,1.29746,5.03910,-3.46294
1967Q3,3.9,6.92126,0.84242,1.53687,1.45862,5.02493,-3.44257
1967Q4,4.7,6.92903,0.84444,1.53687,1.55814,5.04262,-3.43945
1968Q1,5.2,6.93867,0.84536,1.54116,1.61939,5.01873,-3.43833
1968Q2,4.7,6.95597,0.85372,1.54116,1.70838,5.02826,-3.41691
1968Q3,3.7,6.96772,0.86404,1.54543,1.64866,5.01593,-3.39303
1968Q4,5.7,6.97045,0.87099,1.54756,1.72098,5.04473,-3.37581
1969Q1,4.4,6.97989,0.87596,1.54969,1.80665,5.04925,-3.37553
1969Q2,5.3,6.98435,0.87450,1.55393,1.82455,5.05462,-3.38071
1969Q3,6.4,6.98786,0.86367,1.55814,1.94876,5.02788,-3.39243
1969Q4,5.0,6.98240,0.85694,1.56025,1.99470,5.04812,-3.39849
1970Q1,6.2,6.97877,0.85143,1.58924,1.97547,5.05953,-3.40633
1970Q2,5.0,6.97924,0.85200,1.59939,1.89912,5.06056,-3.42457
1970Q3,3.7,6.98657,0.85583,1.59939,1.84530,5.05201,-3.43638
1970Q4,5.6,6.97672,0.85510,1.59939,1.67710,5.07632,-3.42834
1971Q1,6.2,6.99878,0.85694,1.60141,1.34547,5.06640,-3.40268
1971Q2,5.7,7.00606,0.86813,1.59939,1.44692,5.08899,-3.38010
1971Q3,3.4,7.01302,0.87633,1.59939,1.61144,5.08779,-3.37835
1971Q4,3.6,7.02153,0.87350,1.60141,1.44220,5.12462,-3.38460
1972Q1,5.8,7.03984,0.87707,1.60141,1.23547,5.10803,-3.37168
1972Q2,2.9,7.05876,0.89102,1.60141,1.32708,5.12143,-3.33814
1972Q3,3.4,7.07157,0.90284,1.60141,1.43984,5.10749,-3.32224
1972Q4,4.7,7.09191,0.91392,1.60141,1.58104,5.12301,-3.30213
1973Q1,5.8,7.11461,0.91765,1.60141,1.74047,5.13190,-3.28387
1973Q2,7.0,7.11566,0.91706,1.60141,1.88707,5.14403,-3.27769
1973Q3,7.5,7.11988,0.91178,1.65823,2.11866,5.12682,-3.27930
1973Q4,9.6,7.12496,0.90225,1.65441,2.01490,5.14861,-3.28305
1974Q1,8.4,7.11493,0.89614,1.65441,2.03078,5.12309,-3.29347
1974Q2,11.4,7.11029,0.88338,1.65441,2.09802,5.13296,-3.30780
1974Q3,11.6,7.10406,0.86621,1.65632,2.10291,5.11588,-3.33589
1974Q4,12.6,7.08983,0.84600,1.65632,1.99606,5.12751,-3.36631
1975Q1,10.8,7.06613,0.82214,1.65632,1.74920,5.09159,-3.36864
1975Q2,5.7,7.08162,0.82598,1.65632,1.68455,5.05877,-3.33755
1975Q3,7.3,7.10661,0.82624,1.65632,1.84530,5.06173,-3.32212
1975Q4,6.3,7.11306,0.81655,1.65632,1.72811,5.08321,-3.31430
1976Q1,4.1,7.13529,0.81304,1.65632,1.59331,5.07608,-3.28550
1976Q2,4.9,7.14520,0.82164,1.65632,1.64094,5.03898,-3.25075
1976Q3,4.6,7.15188,0.82095,1.65632,1.63900,5.03973,-3.23008
1976Q4,5.4,7.15774,0.82259,1.65632,1.54116,5.08833,-3.21924
1977Q1,6.0,7.17526,0.82124,1.65632,1.53256,5.09933,-3.22232
1977Q2,7.7,7.18955,0.82370,1.65632,1.57691,5.15629,-3.22653
1977Q3,5.1,7.20333,0.83449,1.65632,1.70475,5.24983,-3.22274
1977Q4,5.5,7.21119,0.83747,1.65632,1.80993,5.30067,-3.21957
1978Q1,7.2,7.21097,0.83636,1.65632,1.85473,5.29893,-3.22296
1978Q2,11.0,7.23172,0.83607,1.65632,1.86872,5.39284,-3.22302
1978Q3,6.9,7.23807,0.84543,1.65632,1.98924,5.45513,-3.20336
1978Q4,8.2,7.25467,0.83629,1.65632,2.14827,5.48138,-3.19319
