Start,20/7/1988,
0.3195,9.5625,0.7266
0.3238,9.5,0.7227
0.3195,9.1563,0.6172
0.3195,9.0313,0.6289
0.3256,9.2188,0.6484
0.3256,9.2188,0.6484
0.3221,9.125,0.6328
0.3264,9.125,0.6328
0.3299,9.1875,0.6367
0.3282,9.4063,0.6328
0.3403,9.6875,0.6484
0.3455,9.8125,0.6641
0.3438,9.875,0.6719
0.3455,9.875,0.6797
0.342,9.8438,0.6641
0.3403,9.7813,0.6758
0.3403,9.7813,0.6875
0.329,9.625,0.6719
0.3316,9.6875,0.6641
0.336,9.9375,0.668
0.3403,9.875,0.6992
0.3455,10.0313,0.7109
0.3525,10.1875,0.7266
0.3559,10.25,0.7266
0.3629,10.4375,0.7109
0.3611,10.25,0.6953
0.3611,10.2813,0.7109
0.3611,10.2813,0.7109
0.3594,10.125,0.7187
0.3629,10.0625,0.7109
0.3698,10.125,0.7422
0.3698,10.0625,0.7422
0.3698,10.0625,0.7422
0.3724,10.0938,0.7422
0.3768,10.5,0.7617
0.3707,10.5625,0.7656
0.3681,10.6563,0.7578
0.3664,10.75,0.7422
0.3611,10.6563,0.7461
0.3646,10.5313,0.75
0.3646,10.6875,0.7656
0.3681,10.8125,0.75
0.369,10.9375,0.75
0.3577,10.9375,0.7266
0.3577,9.9375,0.75
0.3716,10.125,0.7578
0.3759,10.25,0.75
0.3681,10.25,0.7344
0.3664,10.4063,0.7266
0.3681,10.375,0.7734
0.3768,10.4375,0.8047
0.3846,10.4375,0.7969
0.4063,9.3438,0.8047
0.4141,9.4375,0.8125
0.4115,9.8125,0.8359
0.4228,9.9375,0.8359
0.4237,9.8125,0.8516
0.4202,9.625,0.8437
0.4315,9.75,0.8672
0.4341,9.5625,0.8203
0.4428,9.5625,0.8125
0.4297,9.3125,0.7734
0.4254,9.25,0.793
0.4184,9.25,0.8203
0.4323,9.0625,0.8203
0.4358,9.0938,0.8203
0.4341,9.1875,0.8359
0.4341,9.1875,0.8359
0.4289,9.375,0.8125
0.4167,9.1875,0.7891
0.4193,9.1875,0.8008
0.408,9,0.7812
0.415,9.125,0.7969
0.4132,9.0625,0.8047
0.4115,9,0.8086
0.4219,8.75,0.8281
0.4289,8.6875,0.8203
0.4306,8.875,0.8437
0.3716,8.9375,0.8437
0.3646,8.8125,0.8281
0.3594,8.625,0.8437
0.3594,8.75,0.8242
0.3664,8.75,0.8359
0.3664,8.8125,0.8047
0.349,8.75,0.7812
0.3559,8.8125,0.8047
0.3229,8.7188,0.7656
0.3229,8.7188,0.7383
0.3464,8.7188,0.7578
0.3403,8.4375,0.7305
0.349,8.5938,0.7539
0.349,8.5938,0.7539
0.3455,8.4375,0.7578
0.3455,8.5,0.7656
0.3438,8.5625,0.7656
0.3464,8.6875,0.7891
0.3464,8.9063,0.8203
0.349,8.75,0.8086
0.3473,8.625,0.793
0.3499,8.75,0.793
0.3559,9,0.7969
0.3559,9.3438,0.8281
0.3568,9.25,0.832
0.3568,9.4375,0.8672
0.3342,9.625,0.9062
0.3386,9.625,0.8906
0.3525,9.6875,0.9219
0.3577,9.8125,0.9102
0.3698,10.0313,0.918
0.3811,10.2188,0.9219
0.3889,10.1875,0.9062
0.3837,10.0313,0.9062
0.3829,10.0313,0.8984
0.3802,10,0.8906
0.375,9.9375,0.8828
0.3802,9.8438,0.9062
0.3881,9.75,0.9062
0.3794,9.75,0.9062
0.375,9.9688,0.9141
0.375,10.0625,0.9219
0.3646,10.25,0.9219
0.3611,10.375,0.9141
0.3577,10.5625,0.9141
0.3681,10.625,0.9141
0.375,10.8125,0.9141
0.375,10.9688,0.9219
0.3768,11.1875,0.9531
0.3802,11.5,0.9687
0.3907,11.3438,0.9609
0.3985,11.3125,0.9844
0.4046,11.1875,1.0039
0.4046,11.4375,1.0234
0.4115,11.5,1.0078
0.3933,11.375,0.9766
0.3993,11.9375,0.9922
0.3993,12.0625,0.9922
0.4089,12.125,1.0078
0.4089,12.125,1.0078
0.4098,11.875,1.0117
0.4202,11.9375,1.0156
0.4167,12.1875,1.0352
0.4046,12.25,1.0391
0.3941,11.75,0.9687
0.4063,11.6875,0.9961
0.415,12.0625,1.0078
0.415,11.9063,0.9844
0.415,11.75,0.9766
0.4098,11.875,1.0039
0.3976,12.125,0.9609
0.4011,12.4063,0.9453
0.3941,11.875,0.9297
0.3941,11.125,0.9453
0.3924,11,0.9453
0.3785,10.75,0.9141
0.382,10.625,0.9297
0.3855,10.8125,0.9531
0.3846,10.9688,0.9609
0.3802,10.875,0.9766
0.3742,10.6563,0.9883
0.3664,10.4375,0.9531
0.3611,10.1563,0.9062
0.3681,10.3125,0.9062
0.3768,10.1875,0.8906
0.3768,10.1875,0.8906
0.3837,10.125,0.8828
0.3664,10.3125,0.8828
0.3716,10.3125,0.9062
0.3811,10.125,0.9297
0.3716,9.9375,0.9297
0.3698,10,0.9297
0.3681,10.1563,0.9219
0.3664,10.1875,0.9336
0.3698,10.1875,0.9805
0.3716,9.8125,0.9023
0.3759,10.125,0.8906
0.3716,10,0.8984
0.3837,10,0.9219
0.3837,9.8125,0.8945
0.3611,9.6875,0.8789
0.3664,9.5625,0.8906
0.3733,9.8125,0.9219
0.3768,9.8438,0.9297
0.3802,9.9375,0.9531
0.3768,9.9688,0.9141
0.3768,10.125,0.9297
0.382,10.3125,0.9687
0.3959,10.6875,0.9922
0.4011,10.9375,1.0234
0.4098,11.0313,1.0312
0.408,11,0.9844
0.4063,10.8125,0.9766
0.4011,10.4688,0.9609
0.3959,10.1875,0.9414
0.3993,10.3438,0.9453
0.3881,10.0938,0.9023
0.3924,10.25,0.9219
0.3993,10.5625,0.9219
0.3898,10.5625,0.8984
0.4054,10.7188,0.9141
0.4115,10.9375,0.9453
0.4098,11.0313,0.9531
0.4089,11.1875,0.9609
0.4106,11.1875,0.9531
0.4063,11.0313,0.9297
0.4115,11.125,0.9453
0.408,11.125,0.9375
0.4158,11.1563,0.9453
0.4158,11.1563,0.9453
0.4167,11.1875,0.957
0.4115,11.1875,0.9375
0.4046,11.1875,0.9297
0.4098,11.25,0.9297
0.4124,11.4375,0.9297
0.4184,11.5,0.9687
0.4323,11.25,0.9727
0.4428,11.1875,0.9687
0.4358,11.25,0.9766
0.441,11,0.9531
0.4341,10.8125,0.9609
0.4514,11.1563,0.9766
0.4549,11.1875,0.9922
0.4584,11.2188,0.9961
0.4653,11.3125,0.9961
0.4671,11.3125,1.0078
0.4627,11.1875,0.9883
0.4723,11.375,1
0.4757,11.125,1.0078
0.4836,11.0938,1.0117
0.4792,10.9063,0.9922
0.5244,11.0625,1.0156
0.5504,11.375,1.0312
0.5539,12.0313,1.0469
0.5678,12.375,1.082
0.5643,12.375,1.0625
0.5556,12.2188,1.0508
0.5452,12.1875,1.0586
0.5105,11.4375,0.9922
0.5261,11.6875,1.0312
0.5461,11.8125,1.0469
0.5591,12.0625,1.0586
0.5851,12.1875,1.0859
0.5921,12,1.0859
0.5773,11.6875,1.0469
0.5617,11.9063,1.0391
0.5539,11.625,1.0273
0.54,11.3125,1
0.5348,11.3125,0.9961
0.553,11.4375,1.0117
0.5678,11.625,1.0547
0.5704,11.5313,1.0391
0.5296,11,0.9844
0.5435,10.8125,0.957
0.5365,10.8125,0.9297
0.5626,11,0.9844
0.5782,11.25,0.9922
0.5817,11.5,1.0078
0.5869,11.6875,1.0273
0.612,11.625,1.0352
0.6008,11.1875,1.0312
0.6146,11.0625,1.0547
0.6077,11.1875,1.0469
0.6034,11.1875,1.0625
0.6008,11.3125,1.0469
0.612,11.3125,1.0469
0.6129,11.1875,1.0781
0.6129,11.1875,1.0781
0.6086,11.1875,1.0859
0.6025,11,1.0859
0.6042,11.0313,1.0742
0.5938,11,1.0859
0.6042,11.0625,1.0859
0.5903,11,1.1016
0.599,11.3125,1.1172
0.6025,11.25,1.1094
0.5921,10.6875,1.0859
0.5938,10.6875,1.0859
0.5886,10.4375,1.0469
0.5764,9.8125,1.0117
0.573,9,1
0.5556,9,1.0078
0.5417,8.7188,0.9805
0.5348,8.4375,0.9609
0.5435,8.6875,0.9414
0.5582,8.75,0.9687
0.5747,8.9375,0.9844
0.5799,9.0625,1.043
0.5955,9.125,1.0391
0.5955,9.125,1.0391
0.5938,8.875,1.0195
0.599,8.7813,1.0625
0.5921,8.6563,1.0625
0.6042,8.8125,1.0781
0.6042,8.8125,1.0781
0.6164,9.3125,1.125
0.6199,9.375,1.0937
0.6381,9.4063,1.1172
0.6225,9.4375,1.1094
0.632,9.5,1.125
0.6303,9.4063,1.1562
0.6129,9,1.125
0.6008,8.625,1.125
0.5982,8.625,1.1016
0.5982,8.5625,1.1094
0.6164,8.7188,1.1719
0.6077,8.3125,1.1758
0.6225,8.0938,1.1641
0.6537,8.5625,1.1836
0.6303,8.3125,1.1484
0.6233,8.4375,1.1484
0.6303,8.5,1.1875
0.6303,8.5313,1.1953
0.6303,8.1875,1.2109
0.6355,8.3125,1.1953
0.6337,8.5,1.1797
0.6424,8.5,1.2344
0.6511,8.4063,1.2187
0.6511,8.5625,1.2187
0.6546,8.75,1.25
0.6528,8.6875,1.25
0.6476,8.3125,1.2578
0.6546,8.25,1.2656
0.6563,8.5625,1.2578
0.6581,8.5,1.2266
0.6581,8.625,1.2422
0.6598,8.5625,1.25
0.6737,8.5625,1.2578
0.6806,8.4375,1.25
0.6806,8.4375,1.25
0.6963,8.375,1.2109
0.6676,8.5,1.2148
0.6693,8.25,1.2109
0.6772,8.3125,1.2031
0.6893,8.5,1.2344
0.6806,8.375,1.2344
0.6858,8.5,1.2578
0.6945,8.5625,1.2695
0.7206,8.4375,1.2734
0.731,8.625,1.2461
0.7258,8.8125,1.2695
0.7136,8.8438,1.25
0.7379,9.1875,1.2539
0.7397,9.2188,1.2656
0.7518,9.1563,1.2539
0.7379,9.2188,1.2422
0.7449,9.1875,1.2266
0.7709,9.1875,1.2539
0.7917,10.0625,1.3203
0.8091,10.5938,1.3594
0.7848,10.3438,1.3437
0.7865,10.4063,1.3242
0.7726,10.1875,1.3125
0.7657,10.5625,1.3281
0.7744,10.5625,1.332
0.7813,10.5,1.3437
0.7709,10.3125,1.3281
0.7674,10.2813,1.3086
0.7692,10.0625,1.3047
0.7744,10.0625,1.3008
0.8056,10.4375,1.3203
0.8126,10.3125,1.3281
0.7952,10.0625,1.3125
0.7935,9.9688,1.293
0.7952,10.2813,1.2969
0.8195,10.3125,1.3203
0.8404,10.625,1.3359
0.8386,10.8125,1.3281
0.8386,10.8125,1.3281
0.8438,10.9375,1.3281
0.8612,10.8125,1.3242
0.8421,10.8125,1.2812
0.8265,10.0625,1.2578
0.823,10.0625,1.25
0.8195,9.9375,1.2344
0.8056,9.6875,1.2187
0.8056,9.6875,1.2422
0.797,9.7188,1.25
0.7813,9.7813,1.2305
0.8056,9.8438,1.2344
0.7935,9.9063,1.2383
0.8091,9.9375,1.2578
0.8195,10,1.2812
0.8577,10,1.3203
0.889,10.375,1.3477
0.8716,10.4375,1.3437
0.8716,10.4688,1.3516
0.8959,10.3438,1.3594
0.9098,10.6563,1.4062
0.9133,10.4375,1.3906
0.8994,10.4375,1.3906
0.8994,10.375,1.3984
0.8994,10.375,1.4023
0.948,9.9375,1.4102
0.9758,9.875,1.4219
0.9932,10.3438,1.4375
1.0539,10.5,1.5
1.0626,10.5,1.5078
1.0314,10.125,1.4844
1.0314,10.125,1.4844
1.0452,10.25,1.5195
1.0487,10.3438,1.4961
1.014,10.3125,1.5078
1.0435,10.1875,1.4844
1.0696,10.1875,1.5156
1.0192,9.875,1.4727
1.014,9.875,1.4922
1.0001,9.75,1.4648
1.0209,9.5625,1.4531
1.04,9.75,1.4844
1.0539,10.125,1.4961
1.0626,9.9375,1.5
1.0487,9.9375,1.5
1.0557,9.875,1.5078
1.04,9.8125,1.4687
1.0418,9.9063,1.4687
1.0782,10,1.4844
1.0696,10.4688,1.4727
1.0522,10.375,1.4375
1.0348,10.3125,1.4219
1.0383,10.1563,1.4219
1.0591,10.375,1.4336
1.0626,10.75,1.4414
1.0557,11.1875,1.4687
1.0244,11,1.4844
1.0001,11,1.4844
1.0001,11,1.4844
1.0036,10.875,1.4687
1.0175,11.1875,1.4609
1.0314,11.6563,1.4609
1.0244,11.75,1.4453
1.0487,11.75,1.5
1.0765,11.8438,1.5234
1.0886,11.6875,1.5625
1.1008,11.4063,1.6016
1.08,11.0625,1.5781
1.0557,11.1563,1.5156
1.0661,10.4375,1.4922
1.0175,10.25,1.4102
1.0001,10.375,1.3906
0.9654,10.5313,1.3555
0.9932,10.5625,1.3594
0.955,10.3438,1.3672
0.9584,10.3438,1.3594
0.9445,10.5938,1.3555
0.9237,10.5,1.3906
0.9272,10.5938,1.3281
0.9168,10.875,1.2578
0.8786,10.3125,1.2266
0.8404,9.875,1.1641
0.8508,9.875,1.1836
0.882,10.0313,1.1602
0.9046,9.875,1.2266
0.8959,9.6875,1.1953
0.9029,9.9688,1.1953
0.8925,9.9375,1.1562
0.8925,9.8125,1.1562
0.8577,9.625,1.125
0.8369,9.125,1.0703
0.7709,9.1875,1.0391
0.7535,9.0625,1.0078
0.7466,8.7813,1.0039
0.7188,8.625,1.0391
0.7952,8.875,1.125
0.8438,9.4375,1.1328
0.8734,9.5313,1.1133
0.8404,9.3125,1.0937
0.8334,9.0625,1.0352
0.8543,9.25,1.043
0.8543,9.25,1.043
0.8647,9.25,1.0469
0.8195,9,1.0156
0.7987,8.9375,0.9766
0.8022,9.0938,0.9922
0.7744,8.9375,1.0156
0.7709,8.5,1
0.797,8.5,1.0234
0.7987,8.4375,1.0078
0.8299,8.5,1.0195
0.8438,8.4375,1.0273
0.8577,8.3438,1.0469
0.8612,8.125,1.0586
0.8299,7.9063,1.0312
0.8404,7.875,1.0273
0.8126,7.5625,1
0.8386,7.5,1.0547
0.8369,7.4375,1.0234
0.823,7.0625,1
0.8751,7.25,1.0391
0.9324,7.625,1.0625
0.915,7.4063,1.0781
0.9133,6.75,1.0391
0.8907,7,1.0078
0.8994,7,1.0273
0.9168,7.2813,1.0234
0.8751,7,0.9453
0.8265,6.625,0.9297
0.8056,6.9375,0.9102
0.7917,7.0625,0.9375
0.7848,6.9375,0.9805
0.7588,6.25,0.9687
0.7848,6.625,1
0.849,7.125,1.0625
0.8612,7.8438,1.0859
0.889,7.7813,1.1016
0.8925,7.75,1.1094
0.9081,7.625,1.0937
0.8994,7.5,1.0664
0.8803,7.5,1.0391
0.8681,7.4688,1.0117
0.8872,7.5938,1.0391
0.8855,7.6875,1.0469
0.882,7.625,1.0469
0.9029,7.9375,1.0937
0.9116,8.3125,1.1328
0.8925,8.375,1.1289
0.8855,8.3125,1.0781
0.882,8.625,1.1016
0.8994,8.875,1.125
0.9567,9.0625,1.1641
0.9532,9,1.1836
0.9654,9.25,1.1836
0.9428,9,1.1484
0.9445,8.7813,1.1562
0.9654,9.0938,1.1641
0.948,8.875,1.1484
0.955,9.0313,1.1328
0.955,9.0313,1.1328
0.955,9.0938,1.1094
0.9758,9.1875,1.125
0.9984,9.375,1.1602
0.9775,9.1875,1.1797
0.9897,9.1875,1.1797
1.0036,9.1875,1.1719
1.0261,9.5313,1.1797
1.0348,9.625,1.1953
1.0452,10.0313,1.1953
1.0383,10.3125,1.1992
1.0314,10.625,1.1797
1.0279,10.4375,1.1797
1.0018,10,1.1172
1.007,9.9063,1.1484
1.0105,10.1875,1.1328
1.0227,9.9688,1.125
1.0279,10.0313,1.1172
1.0452,10.5625,1.1641
1.04,10.4688,1.1797
1.0487,11,1.2187
1.0522,11.25,1.25
1.0452,11,1.2148
1.0452,11,1.2148
1.0418,10.9375,1.1719
1.0383,10.875,1.1562
1.0418,10.75,1.1836
1.0452,10.75,1.2031
1.0452,10.75,1.2031
1.0383,10.875,1.2031
1.0452,10.75,1.2031
1.0539,10.8125,1.2109
1.04,10.8125,1.1992
1.0209,10.8125,1.1875
1.0279,11.3125,1.1992
1.0869,11.7813,1.2109
1.0834,11.75,1.2422
1.0661,11.5625,1.2344
1.0886,11.6875,1.2617
1.1425,12.4375,1.3164
1.1668,12.8125,1.3125
1.1841,12.5625,1.3672
1.2432,12.6875,1.4062
1.2345,12.8125,1.3672
1.2362,12.9375,1.3711
1.2571,13.0313,1.3672
1.2432,13.375,1.375
1.2814,13.625,1.375
1.2849,13.4375,1.3906
1.3369,13.875,1.3984
1.363,13.875,1.4297
1.3856,13.9375,1.4687
1.3769,13.8125,1.4687
1.4064,14.4375,1.5
1.4689,14.2188,1.5625
1.4307,14.4375,1.5391
1.4446,14.9688,1.5117
1.4481,15.3438,1.5469
1.4342,15,1.5039
1.4654,15,1.5
1.3994,14.2813,1.4766
1.4342,14.4063,1.5234
1.4342,14.4063,1.5234
1.4238,15,1.5625
1.4272,15.25,1.5547
1.389,14.75,1.5469
1.4203,14.9375,1.5547
1.4307,14.5,1.5625
1.4133,14.5625,1.5469
1.462,14.5625,1.5391
1.4411,14.3125,1.4922
1.4689,14.4375,1.4922
1.4863,14.5938,1.5
1.5488,15.7813,1.6055
1.4897,15.75,1.6094
1.4446,16.8125,1.6172
1.4238,16.25,1.6094
1.3786,15.875,1.4297
1.33,15.7188,1.4141
1.396,16.5625,1.4883
1.3612,16.375,1.4844
1.3421,16.5625,1.4766
1.3786,16.9375,1.4687
1.3751,17.375,1.4141
1.3751,16.9375,1.4414
1.3161,16.1875,1.3906
1.3022,15.8125,1.3672
1.3647,16.125,1.3789
1.4602,17.5,1.4687
1.4967,17.3125,1.4844
1.4741,17,1.4609
1.4741,17,1.4609
1.4828,17.125,1.4844
1.5592,18.1875,1.5156
1.58,17.5,1.5312
1.58,17.875,1.5391
1.5279,17.3438,1.5078
1.547,17.5,1.5156
1.5314,17.1875,1.457
1.4932,16.7188,1.4844
1.5418,17.75,1.625
1.4897,17.9375,1.6953
1.58,15.5625,1.6914
1.5592,16.0625,1.7031
1.5488,15.8125,1.7109
1.5279,15.25,1.6719
1.4897,14.9063,1.6523
1.4185,15.375,1.6641
1.4116,15.375,1.6758
1.4307,15.1875,1.7187
1.3994,14.625,1.6562
1.3994,14.6563,1.6289
1.3578,14.5625,1.5742
1.3751,13.75,1.5391
1.3994,11.8125,1.5156
1.396,12.25,1.5078
1.4064,12.25,1.5156
1.4272,12.5625,1.5469
1.4064,12.6563,1.5703
1.4307,12.4375,1.6094
1.4689,12.6875,1.7031
1.4272,12.8125,1.6562
1.4324,13.1875,1.6484
1.4064,13.375,1.6641
1.3612,12.625,1.5391
1.3803,12.25,1.5156
1.3786,11.75,1.5156
1.3769,11.0625,1.5156
1.4168,11.3125,1.4687
1.4828,11.5625,1.5156
1.521,11.375,1.5781
1.5279,11.4688,1.5937
1.5279,11.4688,1.5937
1.5383,11.5,1.6641
1.5314,11.75,1.6328
1.5314,11.9063,1.6641
1.5245,11.75,1.7422
1.5557,12.3125,1.8281
1.5696,12.2813,1.8047
1.5557,12,1.6797
1.5436,11.6563,1.6719
1.5314,11.5313,1.6328
1.5349,11.5,1.5781
1.5366,11.1563,1.6016
1.5436,10.5938,1.543
1.5418,10.5313,1.5234
1.5765,10.2813,1.5078
1.5765,10.5,1.5469
1.5488,10.5313,1.5156
1.4359,10.4375,1.4844
1.3994,10.5,1.4727
1.4203,10.5,1.4687
1.363,10.4375,1.3672
1.3717,10.5938,1.375
1.3994,10.75,1.4375
1.4167,10.625,1.4258
1.4193,10.375,1.4531
1.4871,10.625,1.4219
1.4193,10.5625,1.3398
1.3334,10.7813,1.3398
1.3334,10.7813,1.3398
1.2865,11.4063,1.3398
1.3959,11.6875,1.3789
1.4141,11.7188,1.4141
1.3594,11.8125,1.4609
1.3803,11.6875,1.4219
1.4167,11.6875,1.4531
1.4558,11.375,1.4609
1.4063,10.9375,1.4297
1.4115,10.625,1.3828
1.3959,11.2188,1.4297
1.4115,11.5,1.4766
1.4063,11.5,1.4375
1.3855,11.25,1.3906
1.3647,11.25,1.3984
1.3751,11.3125,1.4297
1.4792,11.2188,1.4141
1.4636,11.375,1.4219
1.5157,11.625,1.4336
1.5313,11.5625,1.4687
1.5261,12.2813,1.5508
1.5261,12.5,1.5391
1.5053,12.125,1.5234
1.5522,12.375,1.5859
1.5834,12.5938,1.5703
1.6459,12.625,1.5234
1.6824,12.6875,1.5039
1.7293,12.9375,1.5312
1.7188,13.375,1.5547
1.7188,13.7188,1.5703
1.698,13.3125,1.543
1.7032,13.3125,1.4922
1.672,12.625,1.4727
1.6772,12.75,1.4922
1.7501,13.4375,1.5781
1.7501,13.5625,1.5625
1.7761,13.25,1.5703
1.7761,13.25,1.5781
1.7657,13.5,1.6406
1.7839,13.3125,1.6172
1.7865,13.25,1.6016
1.7761,13.25,1.5469
1.7761,13.25,1.5469
1.7319,13.125,1.5156
1.7214,12.875,1.5078
1.6772,12.75,1.4844
1.6824,12.875,1.4844
1.6824,13.3125,1.4687
1.6667,12.5313,1.4922
1.7084,12.625,1.5234
1.7839,12.6563,1.5547
1.7293,12.1563,1.3437
1.7293,11.8125,1.2969
1.7605,12.25,1.2812
1.7657,12.5313,1.3047
1.797,12.4375,1.293
1.8022,12.6563,1.3203
1.7683,12.375,1.2812
1.8334,12.5625,1.3047
1.8282,12.625,1.3086
1.8595,12.5,1.3281
1.8386,12.25,1.3203
1.8543,12.375,1.3203
1.8517,12.6875,1.2852
1.8126,12.4375,1.25
1.823,11.9375,1.2344
1.836,12.0625,1.25
1.8438,12.0313,1.25
1.8595,12.0625,1.207
1.8647,12,1.2031
1.8699,11.9375,1.3125
1.8673,12.125,1.3086
1.922,12.4688,1.3359
1.9037,13.125,1.3828
1.8907,13.375,1.418
1.8595,13.0938,1.3633
1.8751,13.75,1.375
1.8959,13.6875,1.3437
1.9037,13.625,1.3477
1.8803,13.2813,1.3359
1.8803,13.0313,1.3281
1.8647,12.8125,1.3281
1.8803,12.875,1.3359
1.8907,12.9375,1.3672
1.9688,12.4375,1.3672
1.9558,12.875,1.2695
1.9298,12.75,1.3086
1.8959,12.4375,1.2812
1.9532,12.1875,1.3125
1.9845,12,1.3047
1.9741,12.4375,1.3437
1.9845,13.3125,1.3516
2.0314,13.4375,1.3437
2.0808,13.625,1.3516
2.1043,13.5313,1.3516
2.0678,13.6875,1.3516
1.9793,12.5,1.2812
2.0261,13.0313,1.3047
2.0053,12.8125,1.3047
2.0105,12.625,1.2891
2.0261,12.75,1.2891
2.0001,12.8125,1.2812
1.9923,12.8125,1.2578
1.9688,12.875,1.2812
1.9845,12.75,1.2852
1.9845,12.75,1.2852
2.0261,12.6875,1.2812
2.1095,12.9375,1.3086
2.1121,12.625,1.2969
2.1251,12.625,1.293
2.1199,12.5,1.2891
2.172,12.1875,1.3047
2.1251,12.2813,1.3203
2.1199,12.2813,1.3437
2.0991,12.25,1.332
2.1251,12.3438,1.3594
2.1251,12.5938,1.3828
2.1277,12.625,1.4062
2.1225,12.625,1.3906
2.1433,12.9375,1.4023
2.1407,12.6875,1.3281
2.1511,12.5625,1.3281
2.2241,12.875,1.375
2.2137,13.0625,1.4141
2.2137,13.0625,1.4141
2.2475,13.7188,1.4844
2.2996,13.75,1.4844
2.3074,14.1875,1.5234
2.3178,14.0938,1.5312
2.3178,14.0938,1.5312
2.3751,14.875,1.5703
2.3543,14.75,1.5625
2.4272,14.5,1.5391
2.5001,14.7813,1.6094
2.5887,15.125,1.6328
2.6512,15.5625,1.6719
2.6095,15.5625,1.6484
2.6486,15.5,1.6719
2.672,16.125,1.7031
2.7397,15.875,1.75
2.6616,15.6875,1.9062
2.6355,16.1875,1.9531
2.5522,16,1.9219
2.4871,15.2813,1.8594
2.6147,15.875,1.9141
2.6043,16.125,1.9336
2.5965,16.1563,1.9492
2.5131,16.125,1.918
2.5158,16.3125,1.957
2.5939,15.8125,1.8906
2.573,15.9375,1.8945
2.5053,16.1875,1.8711
2.6043,16.4375,1.8672
2.5939,16.4375,1.957
2.6512,16.5313,1.9609
2.6303,16.0313,1.9492
2.6199,16,2.0156
2.5939,15.7813,2.0391
2.5522,15.7188,2.0469
2.6199,16.3125,2.125
2.5522,16.0625,2.1406
2.4689,16.0313,2.0977
2.4689,16.0313,2.0977
2.4637,15.6875,2.0156
2.3986,15.5,1.9922
2.448,16.1563,2.0625
2.3855,16.25,2.1172
2.3934,16.5313,2.043
2.4116,17.125,1.9922
2.5418,17.4688,2.0469
2.6017,17.125,2.0156
2.573,16.875,1.9844
2.5626,16.8125,2.0547
2.5678,16.5938,2.0273
2.5522,16.25,1.9922
2.5262,15.875,1.9844
2.4637,16,1.9453
2.4793,15.9375,1.9453
2.5366,15.9375,2.0156
2.5053,15.8125,1.9531
2.5236,15.6875,2
2.521,15.7813,2
2.5887,15.8438,2.043
2.6668,15.7188,2.0547
2.6329,15.9375,2.082
2.6564,15.75,2.0508
2.6772,15.8125,2.0312
2.6772,15.75,1.9766
2.6564,16.25,1.9141
2.6772,16.125,1.8828
2.6043,16,1.8359
2.5262,15.25,1.7266
2.5001,14.5313,1.6641
2.4689,14.5625,1.7266
2.5105,14.75,1.7422
2.4376,14.6875,1.7266
2.448,14.75,1.7109
2.5262,15.1875,1.8086
2.4168,14.3125,1.7578
2.4428,13.9688,1.7969
2.5001,14.3125,1.7891
2.4168,13.875,1.5977
2.448,14.125,1.5586
